iso3,ADMIN,country,ABBREV,ECONOMY,INCOME_GRP,continent,REGION_UN,SUBREGION,REGION_WB
AFG,Afghanistan,Afghanistan,Afg.,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia
AGO,Angola,Angola,Ang.,7. Least developed region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
ALB,Albania,Albania,Alb.,6. Developing region,4. Lower middle income,Europe,Europe,Southern Europe,Europe & Central Asia
AND,Andorra,Andorra,And.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia
ARE,United Arab Emirates,United Arab Emirates,U.A.E.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa
ARG,Argentina,Argentina,Arg.,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
ARM,Armenia,Armenia,Arm.,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Europe & Central Asia
ATA,Antarctica,Antarctica,Ant.,6. Developing region,2. High income: nonOECD,Antarctica,Antarctica,Antarctica,Antarctica
ATG,Antigua and Barbuda,Antigua and Barbuda,Ant.B.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
AU1,Australia,Australia,Auz.,2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
AUT,Austria,Austria,Aust.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
AZE,Azerbaijan,Azerbaijan,Aze.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia
BDI,Burundi,Burundi,Bur.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
BEL,Belgium,Belgium,Belg.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
BEN,Benin,Benin,Benin,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
BFA,Burkina Faso,Burkina Faso,B.F.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
BGD,Bangladesh,Bangladesh,Bang.,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia
BGR,Bulgaria,Bulgaria,Bulg.,2. Developed region: nonG7,3. Upper middle income,Europe,Europe,Eastern Europe,Europe & Central Asia
BHR,Bahrain,Bahrain,Bahr.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa
BHS,The Bahamas,The Bahamas,Bhs.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,B.H.,6. Developing region,3. Upper middle income,Europe,Europe,Southern Europe,Europe & Central Asia
BJN,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank,,7. Least developed region,5. Low income,North America,Americas,Caribbean,Latin America & Caribbean
BLR,Belarus,Belarus,Bela.,6. Developing region,3. Upper middle income,Europe,Europe,Eastern Europe,Europe & Central Asia
BLZ,Belize,Belize,Belize,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean
BOL,Bolivia,Bolivia,Bolivia,5. Emerging region: G20,4. Lower middle income,South America,Americas,South America,Latin America & Caribbean
BRA,Brazil,Brazil,Brazil,3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
BRB,Barbados,Barbados,Barb.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
BRI,Brazilian Island,Brazilian Island,,3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
BRN,Brunei,Brunei,Brunei,6. Developing region,2. High income: nonOECD,Asia,Asia,South-Eastern Asia,East Asia & Pacific
BRT,Bir Tawil,Bir Tawil,B. Tawil,7. Least developed region,5. Low income,Africa,Africa,Northern Africa,Middle East & North Africa
BTN,Bhutan,Bhutan,Bhutan,7. Least developed region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia
BWA,Botswana,Botswana,Bwa.,6. Developing region,3. Upper middle income,Africa,Africa,Southern Africa,Sub-Saharan Africa
CAF,Central African Republic,Central African Republic,C.A.R.,7. Least developed region,5. Low income,Africa,Africa,Middle Africa,Sub-Saharan Africa
CAN,Canada,Canada,Can.,1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,North America
CH1,China,People's Republic of China,China,3. Emerging region: BRIC,3. Upper middle income,Asia,Asia,Eastern Asia,East Asia & Pacific
CHE,Switzerland,Switzerland,Switz.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
CHL,Chile,Chile,Chile,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
CIV,Ivory Coast,Ivory Coast,I.C.,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa
CMR,Cameroon,Cameroon,Cam.,6. Developing region,4. Lower middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
CNM,Cyprus No Mans Area,United Nations Buffer Zone in Cyprus,,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Europe & Central Asia
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,D.R.C.,7. Least developed region,5. Low income,Africa,Africa,Middle Africa,Sub-Saharan Africa
COG,Republic of the Congo,Republic of the Congo,Rep. Congo,6. Developing region,4. Lower middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
COL,Colombia,Colombia,Col.,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
COM,Comoros,Comoros,Com.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
CPV,Cabo Verde,Cape Verde,C.Vd.,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa
CRI,Costa Rica,Costa Rica,C.R.,5. Emerging region: G20,3. Upper middle income,North America,Americas,Central America,Latin America & Caribbean
CU1,Cuba,Cuba,Cuba,5. Emerging region: G20,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
CYN,Northern Cyprus,Turkish Republic of Northern Cyprus,N. Cy.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia
CYP,Cyprus,Cyprus,Cyp.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Europe & Central Asia
CZE,Czechia,Czech Republic,Cz.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,Europe & Central Asia
DEU,Germany,Germany,Ger.,1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
DJI,Djibouti,Djibouti,Dji.,7. Least developed region,4. Lower middle income,Africa,Africa,Eastern Africa,Middle East & North Africa
DMA,Dominica,Dominica,D'inca,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
DN1,Denmark,Denmark,Den.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
DOM,Dominican Republic,Dominican Republic,Dom. Rep.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
DZA,Algeria,Algeria,Alg.,6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,Middle East & North Africa
ECU,Ecuador,Ecuador,Ecu.,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
EGY,Egypt,Egypt,Egypt,5. Emerging region: G20,4. Lower middle income,Africa,Africa,Northern Africa,Middle East & North Africa
ERI,Eritrea,Eritrea,Erit.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
ESP,Spain,Spain,Sp.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia
EST,Estonia,Estonia,Est.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
ETH,Ethiopia,Ethiopia,Eth.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
FI1,Finland,Finland,Fin.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
FJI,Fiji,Fiji,Fiji,6. Developing region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
FR1,France,France,Fr.,1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
FSM,Federated States of Micronesia,Federated States of Micronesia,F.S.M.,6. Developing region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
GAB,Gabon,Gabon,Gabon,6. Developing region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
GB1,United Kingdom,United Kingdom,U.K.,1. Developed region: G7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
GEO,Georgia,Georgia,Geo.,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Europe & Central Asia
GHA,Ghana,Ghana,Ghana,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa
GIN,Guinea,Guinea,Gin.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
GMB,Gambia,The Gambia,Gambia,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Guinea-Bissau,GnB.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Equatorial Guinea,Eq. G.,7. Least developed region,2. High income: nonOECD,Africa,Africa,Middle Africa,Sub-Saharan Africa
GRC,Greece,Greece,Greece,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia
GRD,Grenada,Grenada,Gren.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
GTM,Guatemala,Guatemala,Guat.,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean
GUY,Guyana,Guyana,Guy.,6. Developing region,4. Lower middle income,South America,Americas,South America,Latin America & Caribbean
HND,Honduras,Honduras,Hond.,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean
HRV,Croatia,Croatia,Cro.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia
HTI,Haiti,Haiti,Haiti,7. Least developed region,5. Low income,North America,Americas,Caribbean,Latin America & Caribbean
HUN,Hungary,Hungary,Hun.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,Europe & Central Asia
IDNo,Indonesia,Indonesia,Indo.,4. Emerging region: MIKT,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
IND,India,India,India,3. Emerging region: BRIC,4. Lower middle income,Asia,Asia,Southern Asia,South Asia
IRL,Ireland,Ireland,Ire.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
IRN,Iran,Iran,Iran,5. Emerging region: G20,3. Upper middle income,Asia,Asia,Southern Asia,Middle East & North Africa
IRQ,Iraq,Iraq,Iraq,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Middle East & North Africa
IS1,Israel,Israel,Isr.,2. Developed region: nonG7,1. High income: OECD,Asia,Asia,Western Asia,Middle East & North Africa
IS12,Palestine,Palestine,Pal.,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Middle East & North Africa
ISL,Iceland,Iceland,Iceland,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
ITA,Italy,Italy,Italy,1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia
JAM,Jamaica,Jamaica,Jam.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
JOR,Jordan,Jordan,Jord.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Middle East & North Africa
JPN,Japan,Japan,Japan,1. Developed region: G7,1. High income: OECD,Asia,Asia,Eastern Asia,East Asia & Pacific
KA1,Kazakhstan,Kazakhstan,Kaz.,6. Developing region,3. Upper middle income,Asia,Asia,Central Asia,Europe & Central Asia
KAS,Siachen Glacier,Siachen Glacier,Siachen,6. Developing region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia
KEN,Kenya,Kenya,Ken.,5. Emerging region: G20,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
KGZ,Kyrgyzstan,Kyrgyzstan,Kgz.,6. Developing region,5. Low income,Asia,Asia,Central Asia,Europe & Central Asia
KHM,Cambodia,Cambodia,Camb.,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
KIR,Kiribati,Kiribati,Kir.,7. Least developed region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,St.K.N.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
KOR,South Korea,South Korea,S.K.,4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,East Asia & Pacific
KOS,Kosovo,Kosovo,Kos.,6. Developing region,4. Lower middle income,Europe,Europe,Southern Europe,Europe & Central Asia
KWT,Kuwait,Kuwait,Kwt.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa
LAO,Laos,Laos,Laos,7. Least developed region,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
LBN,Lebanon,Lebanon,Leb.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Middle East & North Africa
LBR,Liberia,Liberia,Liberia,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
LBY,Libya,Libya,Libya,6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,Middle East & North Africa
LCA,Saint Lucia,Saint Lucia,S.L.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
LIE,Liechtenstein,Liechtenstein,Liech.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Western Europe,Europe & Central Asia
LKA,Sri Lanka,Sri Lanka,Sri L.,6. Developing region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia
LSO,Lesotho,Lesotho,Les.,7. Least developed region,4. Lower middle income,Africa,Africa,Southern Africa,Sub-Saharan Africa
LTU,Lithuania,Lithuania,Lith.,2. Developed region: nonG7,3. Upper middle income,Europe,Europe,Northern Europe,Europe & Central Asia
LUX,Luxembourg,Luxembourg,Lux.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
LVA,Latvia,Latvia,Lat.,2. Developed region: nonG7,3. Upper middle income,Europe,Europe,Northern Europe,Europe & Central Asia
MAR,Morocco,Morocco,Mor.,6. Developing region,4. Lower middle income,Africa,Africa,Northern Africa,Middle East & North Africa
MCO,Monaco,Monaco,Mco.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Western Europe,Europe & Central Asia
MDA,Moldova,Moldova,Mda.,6. Developing region,4. Lower middle income,Europe,Europe,Eastern Europe,Europe & Central Asia
MDG,Madagascar,Madagascar,Mad.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
MDV,Maldives,Maldives,Mald.,6. Developing region,3. Upper middle income,Seven seas (open ocean),Asia,Southern Asia,South Asia
MEX,Mexico,Mexico,Mex.,4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,Latin America & Caribbean
MHL,Marshall Islands,Marshall Islands,M. Is.,6. Developing region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
MKD,North Macedonia,North Macedonia,N. Mac.,6. Developing region,3. Upper middle income,Europe,Europe,Southern Europe,Europe & Central Asia
MLI,Mali,Mali,Mali,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
MLT,Malta,Malta,Malta,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Middle East & North Africa
MMR,Myanmar,Myanmar,Myan.,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
MNE,Montenegro,Montenegro,Mont.,6. Developing region,3. Upper middle income,Europe,Europe,Southern Europe,Europe & Central Asia
MNG,Mongolia,Mongolia,Mong.,6. Developing region,4. Lower middle income,Asia,Asia,Eastern Asia,East Asia & Pacific
MOZ,Mozambique,Mozambique,Moz.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
MRT,Mauritania,Mauritania,Mrt.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
MUS,Mauritius,Mauritius,Mus.,6. Developing region,3. Upper middle income,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa
MWI,Malawi,Malawi,Mal.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
MYS,Malaysia,Malaysia,Malay.,6. Developing region,3. Upper middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
NAM,Namibia,Namibia,Nam.,6. Developing region,3. Upper middle income,Africa,Africa,Southern Africa,Sub-Saharan Africa
NER,Niger,Niger,Niger,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
NGA,Nigeria,Nigeria,Nigeria,5. Emerging region: G20,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa
